str_yes|نعم.
str_npc5_backstory_later|هل أعادت النظر؟ الوقت ينفد بالنسبة للألدار.
str_npc6_backstory_later|كنت أرصد عشًا للعناكب العملاقة لبضعة أيام. مخلوقات قبيحة، تبدو في البداية، لكنها تبقى المتسللين بعيدًا. هل أتيت لتطلب مني السفر معك؟
str_npc7_backstory_later|بناء الجدران الدفاعية يليق بأي قزم. لكنني بحاجة لاستخدام فأسي أيضًا. قريبًا. دعني آتي معك.
str_npc8_backstory_later|لقد أجريت مكالمة أخرى لملكنا، هذه المرة للقيء. آمل أن تصميمه على الاشتباك مع العدو لا علاقة له بحالته. هل تعاني من الإمساك والقيء أيضًا؟
str_npc9_backstory_later|ماذا تعتقد أنني أفعل؟ غولم يجلس هنا وينتظر بعض السناغا المتسلل ليطعنه في الظلام. خذني معك - سأخدم جيدًا.
str_npc10_backstory_later|هل أعادت النظر؟ سأخدم جيدًا.
str_npc11_backstory_later|آر! لقد كنت أنت! شممت رائحتك، عرفت أنك قادم. أخبر الرؤساء بذلك، هل ستفعل؟ يعتقدون أنه منذ طردي من المتعقبين أنه من الآمن الاستهانة بي، حسنًا، لقد أخطأوا، سأضع سهمًا في أحشائهم أولاً. ومن كان المخطئ؟ ليس أنا!
str_npc12_backstory_later|لدي أوامري. أي متسلل يجده أولادي هنا في الأعلى يجب تجريده؛ أسنان، أظافر، شعر وكل شيء. لكن لدي مراقبي. نحن نعلم أن هناك أشياء غريبة تحدث: مع ذهاب الرؤساء الكبار إلى الحرب، وكل ذلك. أشياء كبيرة تحدث بعيدًا في الغرب، كما يقولون. الجلوس هنا لا أفعل شيئًا أكثر مما تستحقه بطني.
str_npc13_backstory_later|دوري هنا يسير بشكل جيد للقضية المظلمة، ومرة أخرى يخاف الشماليون من الجنوب. أرى انتصارات عظيمة في المستقبل، وأنهارًا من الدماء تترك في أعقابنا. لكن مع كل انتصار أرى أقربائي يفسدون، وتلتوي قلوبهم لإرادته الشريرة. رؤيتي لذلك تقودني إلى اليأس.
str_npc14_backstory_later|لقد عدت أيها الغريب، ربما هو فأل. لقد كنت أقرأ المياه، ورأيتها تظلم. البحر يغير عيني الرجل، ويعلمه استخدام عينيه للاستماع إلى لغته.
str_npc15_backstory_later|كثيرون هم العظماء الذين توسلوا للشفاء بجرعاتي. كثيرون هم محبو الخيل والجان شاحبي الوجوه، وقد اضطررت للتخلي عن كوخي مرة أخرى، وأنا... حسنًا، أيها الرب العظيم، أنا لست محظوظًا كما كنا عندما قاتلنا معًا، وكنت ممتنًا لمهاراتي...
str_npc16_backstory_later|طويل هو تاريخ شعبي في سرد هذه الأراضي. لا أعرف ما تقوله تواريخهم الغادرة عن الأيام التي دخل فيها شعبي هذه الأرض من قبل، لكن حزينة ومظلمة ستكون تواريخهم عندما يدخلها شعبي الآن. مثل عاصفة من الحوافر والسيوف والسهام، سنجلب لهم الهلاك مثل البالشوث من قبلنا.
str_npc17_backstory_later|لقد رأيت شجرة صنوبر قديمة جدًا في ذلك اليوم. يمكن لأشجار الصنوبر أن تصبح قديمة جدًا. عليك احترام الأشجار القديمة. لكنني رأيت أيضًا بعضًا لا يحترمون الأشجار على الإطلاق. أنت تحترم الأشجار، أليس كذلك؟
str_npc1_backstory_response_1|إذا استطعت الحصول على إذن، فأنا بحاجة ماسة إلى محارب خبير ومتعقب.
str_npc2_backstory_response_1|أنت على صواب، أنا أبحث عن متطوعين.
str_npc3_backstory_response_1|إذا استطعت الاستغناء عن الجعة، سأرحب بفارس جيد.
str_npc4_backstory_response_1|سأرحب بمساعدة درعية روهان، إذا عرضت.
str_npc5_backstory_response_1|قد يكون من الوقاحة أن أسأل، لكن شركتي يمكنها الاستفادة من مهارتك في المعارك القادمة.
str_npc6_backstory_response_1|نحن نسافر حول العالم، ولكن للدفاع عن كل ما هو عادل، نخوض المعركة ضد العدو.
str_npc7_backstory_response_1|بالفعل، سيكون محارب قزم موضع ترحيب في شركتي.
str_npc8_backstory_response_1|يمكننا الاستفادة من معالج وأعشابي.
str_npc9_backstory_response_1|أعتقد أنه يمكننا الاستفادة بشكل جيد من برزيركر.
str_npc10_backstory_response_1|ستفي بالغرض.
str_npc11_backstory_response_1|ما رأيك في الانطلاق معي؟
str_npc12_backstory_response_1|ما رأيك في الانسلاخ معي؟
str_npc13_backstory_response_1|ما رأيك في اتباعي؟
str_npc14_backstory_response_1|ما رأيك في الانضمام إلي؟
str_npc15_backstory_response_1|آها... معالج، هاه؟ وأنت جيد في ذلك، كما تقول؟ يمكنني الاستفادة من شخص مثلك.
str_npc16_backstory_response_1|ماذا تفعل هنا؟
str_npc17_backstory_response_1|حسنًا، يمكن للمرء دائمًا تعلم المزيد عن الأشجار. سنكون سعداء بوجودك معنا.
str_npc1_backstory_response_2|أنا آسف لسماع ذلك. أتمنى أن يدعم إيمانك بسالتك.
str_npc2_backstory_response_2|لا، آسف. أنا أبحث عن محاربين متمرسين.
str_npc3_backstory_response_2|لا، آسف. أنا أبحث عن شخص أكثر موثوقية.
str_npc4_backstory_response_2|أنا آسف يا سيدتي، لا أستطيع فعل أي شيء.
str_npc5_backstory_response_2|سأعود عندما تكون لوثلورين في خطر أقل.
str_npc6_backstory_response_2|لا، آسف. لا يمكننا اصطحاب التابعين.
str_npc7_backstory_response_2|لا، آسف. نحن بخير بمفردنا.
str_npc8_backstory_response_2|لا، آسف. نحن نزور المعالجين فقط عندما نحتاجهم.
str_npc9_backstory_response_2|باه. لا أثق بالخونة.
str_npc10_backstory_response_2|لا أحتاجك أيها العبد.
str_npc11_backstory_response_2|لا أريد سماع تزلّفك.
str_npc12_backstory_response_2|الرؤساء الكبار يعرفون أفضل. من الأفضل لك اتباع الأوامر.
str_npc13_backstory_response_2|هذا قدرك أن تعاني.
str_npc14_backstory_response_2|لقد اكتفيت من هذا.
str_npc15_backstory_response_2|باه! أحتاج مقاتلين، ليس متسللين.
str_npc16_backstory_response_2|لقد اكتفيت من هذا.
str_npc17_backstory_response_2|لا، أنا آسف. نحن ذاهبون إلى الحرب، وليس في رحلة نباتية.
str_npc1_signup|أنا متأكد من أن القبطان فارامير سيفهم أن هناك آخرين يمكنهم صد العدو بمزيد من البسالة والشجاعة.
str_npc2_signup|أوه، يوم سعيد! سأكون سعيدًا بالانضمام إلى شركتك.
str_npc3_signup|ثق بي أيها القائد، كل الجعة التي أحتاجها هي مشروب النصر الحلو. إذا استطعت قيادتي ضد العدو، فسيشعرون قريبًا بالطرف العملي لرمح روهيريم!
str_npc4_signup|إنه عرض بكل سرور، ويمكنك الترحيب بي في شركتك أيها القائد.
str_npc5_signup|أرى. أعترف أنني سمعت عنك وعن مآثرك.
str_npc6_signup|أنا لا أحب العنف وأسلحة الحرب، لكنني أعرف كيف أدافع عن نفسي في حالات الطوارئ.
str_npc7_signup|أنا ماهر بالفأس، سواء في الاستخدام أو الرمي. يمكنني أيضًا إبقاء فواتيرك منخفضة إذا سمحت لي بالتحدث إلى التجار. ولدي عين للعثور على أفضل قطع الغنائم من الأعداء الساقطين في ساحة المعركة.
str_npc8_signup|حقًا؟ حسنًا، أنا فقط بحاجة لجمع أعشابي ووصفاتي.
str_npc9_signup|أوروك مقاتل يساوي أكثر من كل سناغاتك. أوروك مقاتل لا يهرب أبدًا من المعركة.
str_npc10_signup|حقًا؟ ستفعل جيدًا في تجنيدي.
str_npc11_signup|أتبع جماعتك آي؟ آر! سمعت عن كل هذه الأحداث في الغرب، غارات وكل شيء، ومئات من أولادنا قتلوا. سآتي وألقي نظرة معكم على أي حال، وأرى ما الذي تفعله.
str_npc12_signup|أتبع غوغاءك، 'آي؟ قد أكون قد حالفني الحظ أخيرًا. أعطي قعقعة جيدة، على ما أعتقد، وسوطي يقظ. لقد تذوق نصيبه العادل من جلد أولادي من العفاريت.
str_npc13_signup|قد أتبعك إذا أردتني. ساقاي تجيدان ركوب الخيل بينهما وتد يدانا جيدًا الشعور بشفرات الهلال. يمكن لأصابعي إسقاط السهام مثل محنة النجوم على عدوينا، سواء على ظهور الخيل أو على الأقدام، لكن كيف أقاتل سيكون تحت قيادتك.
str_npc14_signup|ربما، اعلم مع ذلك أنني لست لصًا أو قاطع طريق. لن أسرق، ولا آخذ ما قد يحتاجه الآخرون للحياة.
str_npc15_signup|هيه هيه. أنت على حق! نعم! أنت حكيم أيها القبطان العظيم.
str_npc16_signup|أنتظر الأوامر، مع كل ثانية تمر يظلم قلبي. لم أعد أستطيع الوقوف لانتظار خطط اللوردات والقباطنة البعيدين الذين لا يُرى وجودهم إلا في الأساطير أكثر من الواقع. اللوردات الذين تُجلب أوامرهم الهامسة ويصرخ بها رجال أقل شأنًا. أنا أنتظر، ومعي ينتظر ثأر شعبي أيضًا.
str_npc17_signup|جيد جدًا! أعرف العديد من الأشجار. قريبًا ستعرف العديد من الأشجار أيضًا. مثلي. لأنني أعرف العديد من الأشجار.
str_npc1_signup_2|سأستغرق لحظة للتحدث مع قبطاني وجمع أغراضي.
str_npc2_signup_2|سأحتاج للتحدث مع رقيبي أولاً ثم ننطلق - هناك معارك مجيدة تخاض وجميع أنواع المخلوقات الغريبة لنراها!
str_npc3_signup_2|كنت أنتظر من يأخذني، لذا أنا فقط بحاجة إلى تشويش حصاني ونحن مستعدون للركوب.
str_npc4_signup_2|لقد اصطدت الطرائد عدة مرات بالأقواس ورمي الرماح. سأصطاد العفريت تحت قيادتك. ولدي بعض المهارة في الشفاء أنا متأكدة من أنها ستكون مطلوبة.
str_npc5_signup_2|ربما من خلال الانضمام إلى شركتك والضرب بقوة حيث لا يتوقعونني، سيختل توازن العدو. سآتي.
str_npc6_signup_2|ربما يمكنني تعليمك التحرك بشكل أسرع وإحداث ضوضاء أقل. لنذهب.
str_npc7_signup_2|إذا استطعت إبقاء طوال القامة في شركتك على خط، وخاصة الجان المتسللين، سأنضم إليك بكل سرور.
str_npc8_signup_2|يجب أن أحذرك رغم ذلك، أنا عديمة الفائدة إلى حد ما في المعركة. لكنني متأكدة من أنك قادر على الحفاظ على سلامة امرأة في عمري.
str_npc9_signup_2|لكن يجب أن تقرر بسرعة، الحراس هنا أصبحوا مشبوهين.
str_npc10_signup_2|لن تندم على اصطحابي.
str_npc11_signup_2|الكثير من الأشياء هناك لأنفي يشمها أيضًا، وسكيني لتتذوقها. لا يعرفون الكثير الآن لكنهم يتعلمون بسرعة حسنًا. ماذا تقول؟
str_npc12_signup_2|سأري بنات آواك أين يوجد سوط هناك إرادة وأعطيهم من الجلد بقدر ما تستطيع جلودهم حمله. إذا تقبلها رجالك جيدًا، يجب أن يضعهم ذلك في هرولة جيدة. ماذا تقول؟
str_npc13_signup_2|اعلم، مع ذلك، أن ولائي دائمًا لأقربائي. لقد قاتلت حتى الآن وخسرت الكثير من أجلهم. لن أدير ظهري لهم لأن مصيرهم سيكون مصيري.
str_npc14_signup_2|من حسن الحظ فقط أن أولئك الذين لم يعودوا من هذا العالم لا يجدون حاجة لكنوز هذا العالم وأنا محظوظ لأني ماهر بطرق تمكنني من المساعدة في تخفيف الاحتياجات الدنيوية لأصحاب تلك الكنوز.
str_npc15_signup_2|أوه، هذه لحظة عظيمة لبولزوغ الموهوب، ولك أيها الرب العظيم! سننتصر معًا، أنت، لا يقهر بلمستي الشافية، وأنا، حكيم العفاريت العظيم الذي سيدعمك!
str_npc16_signup_2|أخشى أنني لن أنتظر أكثر من ذلك. أنوي الانضمام إلى المجموعة التالية التي تغادر المعسكر، بموافقة زعي أم لا. أخشى أن الحرب ستنتهي قبل فترة طويلة من مغادرتي للانضمام إليها.
str_npc17_signup_2|سأحضر بعض أدواتي، ويمكننا الانطلاق. هناك شجرة بلوط هذه على طول الطريق يجب أن أريك إياها!
str_npc1_signup_response_1|يمكنني الاستفادة من حارس ماهر، مرحب بك للانضمام.
str_npc2_signup_response_1|حسنًا جدًا. يمكننا الاستفادة من بعض البهجة في هذه الأوقات المظلمة.
str_npc3_signup_response_1|حسنًا جدًا. جهز حصانك - سنغادر قريبًا.
str_npc4_signup_response_1|مثير للإعجاب. نحن مستعدون للمغادرة، وقتما تشائين يا سيدتي.
str_npc5_signup_response_1|سيكون لنا الشرف بصحبة لورد الجان.
str_npc6_signup_response_1|حسنًا جدًا. آمل ألا تهربي من أول عفريت نراه.
str_npc7_signup_response_1|حسنًا جدًا أيها السيد قزم، مرحب بك للانضمام إلينا.
str_npc8_signup_response_1|ستكونين بأمان معنا، أعدك. سنغادر قريبًا.
str_npc9_signup_response_1|جيد جدًا. افعل كما يطلب منك، وسأطعمك جيدًا.
str_npc10_signup_response_1|حسنًا جدًا. لنذهب.
str_npc11_signup_response_1|حسنًا جدًا. لنذهب.
str_npc12_signup_response_1|أعتقد أنه يمكننا توظيفك بشكل جيد.
str_npc13_signup_response_1|أعتقد أنه يمكننا توظيفك بشكل جيد.
str_npc14_signup_response_1|حسنًا جدًا. لنذهب.
str_npc15_signup_response_1|هممم. أنا معجب بـ... ثقتك بنفسك. جهز أغراضك.
str_npc16_signup_response_1|ما رأيك في اتباعي؟
str_npc17_signup_response_1|عظيم! أرجو ألا تتحدث عن الأشجار طوال الوقت رغم ذلك.
str_npc1_signup_response_2|لا حاجة لصحبتك في الوقت الحالي، حظًا سعيدًا لك.
str_npc2_signup_response_2|آسف، لقد غيرت رأيي.
str_npc3_signup_response_2|آسف، لقد غيرت رأيي - ربما في المرة القادمة.
str_npc4_signup_response_2|أعتذر يا سيدتي، ربما مرة أخرى.
str_npc5_signup_response_2|بعد تفكير ثان، ربما نحتاج لمساعدة لوثلورين بأنفسنا.
str_npc6_signup_response_2|آسف، لا أستطيع تخيلك في ساحة معركة.
str_npc7_signup_response_2|آسف، أصادف أنني أحب الجان.
str_npc8_signup_response_2|أنا آسف، الجميع يقاتل في شركتي.
str_npc9_signup_response_2|لقد غيرت رأيي. من يبحث عنك قد يأتي ورائي بعد ذلك.
str_npc10_signup_response_2|لقد غيرت رأيي.
str_npc11_signup_response_2|لا أحتاجك أيها العبد.
str_npc12_signup_response_2|لقد غيرت رأيي.
str_npc13_signup_response_2|لقد غيرت رأيي.
str_npc14_signup_response_2|لقد غيرت رأيي.
str_npc15_signup_response_2|في الواقع، أعتقد أنني سأبحث عن معالج حقيقي وليس متفاخرًا.
str_npc16_signup_response_2|لقد اكتفيت من هذا.
str_npc17_signup_response_2|من ناحية أخرى، أعتقد أنني غيرت رأيي. أنت مجنون بعض الشيء، أليس كذلك؟
str_npc1_payment|سأنضم إليك، لكن قبطاني فارامير سيفتقد وجودي هنا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc2_payment|الرقيب الحارس لن يسمح لي بالذهاب، أخشى. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc3_payment|آهيم، يبدو أن لدي فاتورة كبيرة في الحانة الجميلة هنا، لذا سأحتاج لتسوية حسابي قبل أن أتمكن من المغادرة. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc4_payment|سأنضم إليك، لكن من سيعتني بالجرحى إذا هوجمت المدينة؟ [تكلفة {reg14} من النفوذ مع {s14}]
str_npc5_payment|يجب أن ننطلق قريبًا. ستنخفض قيمة مجيئي إذا شعر العدو بوجودي قبل أن نضرب. لكن لوثلورين تحتاجني هنا أيضًا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc6_payment|سأنضم إليك، لكن واجبي هنا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc7_payment|سأنضم إليك، لكني أخشى أن والدي الجليل دوالين لن يفهم لماذا تركت المدينة في وقت الحاجة. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc8_payment|لا أستطيع التخلي عن واجباتي هنا، ما زال ملكي بحاجة إلي. أنا قلقة جدًا على صحته. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc9_payment|أريد المغادرة معك، لكن الحراس عند البوابة لن يسمحوا لي.^صدقني، لقد جربت. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc10_payment|سأنضم إليك، لكن واجبي هنا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc11_payment|أحتاج فقط لشخص ليتخلص من الرئيس. يمكننا الانتظار حتى يغمض عينيه ليقطع، لكنني أعتقد أن شخصًا ما عاليًا جدًا يمكنه إجبار عينيه على الإغلاق. آي! [تكلفة {reg14} من النفوذ مع {s14}]
str_npc12_payment|هاي! يوي! سأحتاج لتذكير الأولاد بإبقاء أفواههم الجربية مغلقة وإلا سيحصل الكبار على رقمي وسيحاسبوني عليه، سيفعلون. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc13_payment|للأسف، لن يسمح لي الزعماء هنا بالمغادرة. هل أنت قادر على إقناعهم بخلاف ذلك؟ [تكلفة {reg14} من النفوذ مع {s14}]
str_npc14_payment|سيحتاج قائد الميناء إلى الكثير من الإقناع لمغادرتي. أقنعه وسننطلق عبر هذه العاصفة. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc15_payment|آه، نعم. أيها الرب المحارب النبيل! هناك عقبة صغيرة واحدة! وقع عليّ ظلم عظيم، حيث أن سيد هذا الكهف لم يعجبه عرضي للشفاء، وسرق كل أغراضي! الوقاحة! أن يسرق من بولزوغ العظيم! أيها السيد، لا أستطيع استعادة معداتي التي لا تقدر بثمن من مخالبه القذرة! [تكلفة {reg14} من النفوذ مع {s14}]
str_npc16_payment|لن أتبعك، سأذهب في طريقي الخاص؛ لكن طريقك قد يتماشى مع طريقي لبعض الوقت. مع ذلك، قبل أن أسافر في هذه الأراضي، يجب أن أقدم تحية لأولئك الذين ماتوا وهم يحاولون قبلنا. أظهر لهم تحيتك وقد نتمكن من المغادرة. يجب ألا ننسى أسلافنا أبدًا. لم ينسونا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc17_payment|أحب الأشجار، لكن عمي العجوز يحتاجني هنا. [تكلفة {reg14} من النفوذ مع {s14}]
str_npc1_payment_response|لا تقلق، سأرتب لك إجازة معه. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc2_payment_response|لا تقلق، سأتحدث مع رقيبك. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc3_payment_response|آمل أن يكون الأمر يستحق ذلك. سأقوم بالتسوية مع النادل. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc4_payment_response|إنها قضية نبيلة، لكني متأكد من أنه يمكن العثور على بديل. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc5_payment_response|ثق بي، ستكون أكثر فائدة معي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc6_payment_response|من الآن فصاعدًا، واجبك معي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc7_payment_response|السيد دوالين سيفهم أنه لا ينبغي إبقاء قزم جدير بالقتال بعيدًا عن أعدائنا لفترة طويلة. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc8_payment_response|رفاهية الملك مهمة، لكنك ستنقذين أرواحًا أكثر معي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc9_payment_response|أوه، لكن الحارس لن يجرؤ على إيقافك، إذا كنت معي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc10_payment_response|من الآن فصاعدًا، واجبك معي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc11_payment_response|لا تهتم برئيسك، أنت تخدم لدي الآن. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc12_payment_response|أولادك سيحصلون على أوامر جديدة، سأهتم بالكبار. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc13_payment_response|سيرون خلاف ذلك، فأنا زعيمك الآن. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc14_payment_response|لا داعي للقلق بشأن قائد الميناء القديم. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc15_payment_response|لا تقدر بثمن، أليس كذلك؟ سأحضر أغراضك. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc16_payment_response|أنا أكرم الأسلاف، أسلافك وأسلافي. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc17_payment_response|عمك سيكون بخير. أنت معي الآن. [تكلفة {reg14}/{reg15} من النفوذ]
str_npc1_morality_speech|أيها القبطان، لا أستطيع أن أفهم كيف يمكنك {s21} والتخلي عن رجالنا. لم يكن القبطان فارامير ليغفل أبدًا عن التعاطف مع حارسيه ويجعلهم يعانون دون داع.
str_npc2_morality_speech|أتمنى ألا تمانع في قولي هذا، لكن من الصعب علي رؤيتنا {s21}. ربما ينبغي لي أن أحاول أن أكون جنديًا أكثر قسوة، لكن إذا استطعت أن تحاول أن تكون أكثر... اهتمامًا بجنودنا، كنت سأنام بشكل أفضل.
str_npc3_morality_speech|أيها القائد، نحن الإيورلينغاس لا {s21} أبدًا. خيولنا لا تتعب بسهولة، وبمجرد أن نعيد التجمع، لا يوجد موقف لا يمكن لهجمة موقوتة أن تقرره لصالحنا. انتبه في المرة القادمة التي نقاتل فيها ضد الصعاب.
str_npc4_morality_speech|لا تلتفت إلى ما يقوله الجنود، أحيانًا يكون {s21} هو التصرف الأكثر حكمة. أنا شخصيًا أقدر الأرواح التي تم إنقاذها والأطراف السليمة، إن لم يكن لشيء سوى القتال يومًا آخر، عندما ينظر إلينا القدر بعين الرضا.
str_npc5_morality_speech|يجب أن تعيد النظر في أفعالك أيها القائد. إن {s21} يجعلنا لا نشرف أكثر من العدو ويقلل من ثقة أصدقائنا.
str_npc7_morality_speech|لم أكن سعيدًا لأنك قررت {s21}. السقوط في المعركة شرف لأي قزم سليم العقل، لكن القتال في شركة يقودها جبان هو عار. ماذا سيقول أبناء عمومتي إذا علموا بهذا؟
str_npc8_morality_speech|أيها القائد، يجب أن أعترض. إن {s21} قاسٍ على الرجال وغير ضروري. أفعل ما بوسعي لتخفيف معاناتهم، لكن من فضلك لا ترتكب خطأً مكلفًا آخر.
str_npc9_morality_speech|الأوروك هاي المقاتل لا {s21}. إذا كان للسيد القليل من الشجاعة، فقد يجد نفسه بدونها ذات ليلة. لقد تكلم غولم.
str_npc15_morality_speech|قد تظن أن بولزوغ العظيم يستطيع شفاء كل شيء، {playername}، لكن حتى أنا لي حدودي! إذا استمررت في {s21} حتى موهبتي ستكافح! يجب أن تقدم لي بعض الدعم! لا أستطيع إحياء الموتى، سواء ماتوا جوعًا أو قُطعوا إربًا!
str_npc1_2ary_morality_speech|أيها القبطان، لقد نشأت كدونيدان، في البسالة والشرف. أفضل لو أننا لا {s21}.
str_npc4_2ary_morality_speech|عفواً أيها القائد. نساء منزلتي سيقبلن الموت ولكن ليس العار. إن {s21} يجلب العار لبيتي وأسلافي.
str_npc15_2ary_morality_speech|هي-هي-هي! أنت ماكر، أيها الرب! أنت تأخذ الذهب، وتومئ، وتقول 'نعم سيدي' ولكن طوال الوقت كنت تخطط لهذا! هي-هي! فقط، يجب أن نكون حريصين، على ألا يراك الكبير وأنت تخدعه...
str_npc1_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc2_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc3_personalityclash_speech|أيها القائد، كيف حدث أن انتهى بنا المطاف مع {s11} في شركتنا؟ إنه رشيق على الأقدام، على ما أعتقد، لكنه يتحدث عن الكمائن كثيرًا على غير هواي - ليس خلافًا لطبيعة شعبه الحذرة.
str_npc4_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc5_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc6_personalityclash_speech|{playername}، لقد رأيت للتو {s11} يمشي بوقاحة فوق عش لصغار الطيور. لقد دمرت عياريته حياة صغار مخلوقات بريئة.
str_npc7_personalityclash_speech|اللورد {s11} يؤدي جيدًا في المعركة، لكني أتساءل هل يعمي العدو بلمعان شعره؟ أم يسقطون خشية من شهرته وسلوكه المتعالي؟
str_npc8_personalityclash_speech|أيها القائد، يجب أن أتقدم بشكوى ضد {s11}. يستمر في مضايقتي لتحضير جرعة معينة يسميها 'الجنية الخضراء'.
str_npc9_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc10_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc11_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc12_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc13_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc14_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc15_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc16_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc17_personalityclash_speech|هل ذكرت أنني أكره {s11}؟
str_npc1_personalityclash_speech_b|أنا أكره {s11}.
str_npc2_personalityclash_speech_b|أنا أكره {s11}.
str_npc3_personalityclash_speech_b|لا خلاف لي مع شعب غوندور، لكننا سنكون أفضل مع المزيد من الفرسان الجريئين وعدد أقل من المترددين المتشبثين بالأرض، إذا فهمت قصدي.
str_npc4_personalityclash_speech_b|أنا أكره {s11}.
str_npc5_personalityclash_speech_b|أنا أكره {s11}.
str_npc6_personalityclash_speech_b|طرقه القزمة قد تخدمه جيدًا تحت الأرض، على الرغم من أنه لأمر عجيب ألا يكون قد سقط في عمود قبيح. ربما كان يجب أن يسقط.
str_npc7_personalityclash_speech_b|سنكون أفضل مع بطل قزم، مثل دورين الخالد قديمًا، ودع الجان يتبخترون في غاباتهم.
str_npc8_personalityclash_speech_b|إنه مصنوع من الشيح المنقوع في المسكر ويفضله على ما يبدو المنشدون والمتشردون لرؤية أشياء غير موجودة. أشك في أنك ستوافق على جنودك وهم يطاردون الهواء في ساحة المعركة، بقدر ما قد يكون ذلك مسليًا للمشاهدة.
str_npc9_personalityclash_speech_b|أنا أكره {s11}.
str_npc10_personalityclash_speech_b|أنا أكره {s11}.
str_npc11_personalityclash_speech_b|أنا أكره {s11}.
str_npc12_personalityclash_speech_b|أنا أكره {s11}.
str_npc13_personalityclash_speech_b|أنا أكره {s11}.
str_npc14_personalityclash_speech_b|أنا أكره {s11}.
str_npc15_personalityclash_speech_b|أنا أكره {s11}.
str_npc16_personalityclash_speech_b|أنا أكره {s11}.
str_npc17_personalityclash_speech_b|أنا أكره {s11}.
str_npc1_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc2_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc3_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc4_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc5_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc6_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc7_personalityclash2_speech|مناوشة لطيفة صغيرة، أليس كذلك أيها القبطان؟ لو لم تفسدها قليلاً سلوك تلك المرأة الجان {s11}.
str_npc8_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc9_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc10_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc11_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc12_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc13_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc14_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc15_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc16_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc17_personalityclash2_speech|هل ذكرت أنني أكره {s11}؟
str_npc1_personalityclash2_speech_b|أنا أكره {s11}.
str_npc2_personalityclash2_speech_b|أنا أكره {s11}.
str_npc3_personalityclash2_speech_b|أنا أكره {s11}.
str_npc4_personalityclash2_speech_b|أنا أكره {s11}.
str_npc5_personalityclash2_speech_b|أنا أكره {s11}.
str_npc6_personalityclash2_speech_b|أنا أكره {s11}.
